name,NSE_code,BSE_code,sector,industry,revenue,operating_expenses,operating_profit,operating_profit_margin,depreciation,interest,profit_before_tax,tax,net_profit,EPS,profit_TTM,EPS_TTM
Ashok Leyland Ltd.,ASHOKLEY,500477,AUTOMOBILES & AUTO COMPONENTS,COMMERCIAL VEHICLES,11463.0,9558.6,1870.4,16.37,226.6,715.1,924.4,358.0,526.0,1.8,2141.5,7.3
Asian Paints Ltd.,ASIANPAINT,500820,DIVERSIFIED CONSUMER SERVICES,FURNITURE-FURNISHING-PAINTS,8643.8,6762.3,1716.2,20.24,208.7,50.9,1621.8,418.6,1205.4,12.6,5062.6,52.8
Astral Ltd.,ASTRAL,532830,GENERAL INDUSTRIALS,PLASTIC PRODUCTS,1376.4,1142.9,220.1,16.15,48.7,8.0,176.8,45.1,131.2,4.9,549.7,20.4
Atul Ltd.,ATUL,500027,CHEMICALS & PETROCHEMICALS,SPECIALTY CHEMICALS,1215.8,1038.5,155.2,13.0,54.0,1.9,121.5,32.5,90.3,30.6,392.3,132.9
Aurobindo Pharma Ltd.,AUROPHARMA,524804,PHARMACEUTICALS & BIOTECHNOLOGY,PHARMACEUTICALS,7406.4,5846.0,1373.4,19.02,417.5,68.2,1074.7,323.7,757.2,12.8,2325.5,39.7
Avanti Feeds Ltd.,AVANTIFEED,512573,FOOD BEVERAGES & TOBACCO,OTHER FOOD PRODUCTS,1312.0,1184.5,94.0,7.35,14.3,0.2,113.0,30.5,74.2,5.5,336.4,24.7
Avenue Supermarts Ltd.,DMART,540376,RETAILING,DEPARTMENT STORES,12661.3,11619.4,1005.0,7.96,174.4,15.6,851.9,228.6,623.6,9.6,2332.1,35.8
Axis Bank Ltd.,AXISBANK,532215,BANKING AND FINANCE,BANKS,33122.2,9207.3,9166.0,33.43,0.0,14749.0,8313.8,2096.1,6204.1,20.1,13121.0,42.6
Bajaj Auto Ltd.,BAJAJ-AUTO,532977,AUTOMOBILES & AUTO COMPONENTS,2/3 WHEELERS,11206.8,8708.1,2130.1,19.65,91.8,6.5,2400.4,564.0,202.0,71.4,6841.6,241.8
Bajaj Finance Ltd.,BAJFINANCE,500034,BANKING AND FINANCE,FINANCE (INCLUDING NBFCS),13381.8,2851.5,9449.7,70.63,158.5,4537.1,4757.6,1207.0,3550.8,58.7,13118.5,216.7
Bajaj Finserv Ltd.,BAJAJFINSV,532978,DIVERSIFIED,HOLDING COMPANIES,26022.7,14992.2,9949.9,38.24,208.8,4449.1,5292.0,1536.5,1929.0,12.1,7422.6,46.6
Bajaj Holdings & Investment Ltd.,BAJAJHLDNG,500490,DIVERSIFIED,HOLDING COMPANIES,240.1,33.5,191.2,85.08,8.4,0.2,197.9,73.9,1491.2,134.0,5545.1,498.3
Balkrishna Industries Ltd.,BALKRISIND,502355,AUTOMOBILES & AUTO COMPONENTS,AUTO TYRES & RUBBER PRODUCTS,2360.3,1720.5,532.7,23.64,160.4,23.9,455.5,108.1,347.4,18.0,1047.5,54.2
Balrampur Chini Mills Ltd.,BALRAMCHIN,500038,FOOD BEVERAGES & TOBACCO,SUGAR,1649.0,1374.6,164.9,10.71,41.2,17.2,215.9,56.6,166.3,8.2,540.5,26.8
Bank of Baroda,BANKBARODA,532134,BANKING AND FINANCE,BANKS,35766.0,8430.4,9807.9,33.52,0.0,17527.7,6022.8,1679.7,4458.4,8.5,18602.9,35.9
Bank of India,BANKINDIA,532149,BANKING AND FINANCE,BANKS,16779.4,3704.9,3818.8,25.35,0.0,9255.7,2977.4,1488.6,1498.5,3.6,5388.7,13.1
Bata India Ltd.,BATAINDIA,500043,RETAILING,FOOTWEAR,834.6,637.5,181.7,22.18,81.7,28.4,46.1,12.1,34.0,2.6,289.7,22.5
Berger Paints (India) Ltd.,BERGEPAINT,509480,DIVERSIFIED CONSUMER SERVICES,FURNITURE-FURNISHING-PAINTS,2782.6,2293.7,473.6,17.12,82.9,21.1,385.0,96.7,291.6,2.5,1032.6,8.9
Bharat Electronics Ltd.,BEL,500049,GENERAL INDUSTRIALS,DEFENCE,4146.1,2994.9,1014.2,25.3,108.3,1.5,1041.5,260.7,789.4,1.1,3323.0,4.5
Bharat Forge Ltd.,BHARATFORG,500493,GENERAL INDUSTRIALS,OTHER INDUSTRIAL PRODUCTS,3826.7,3152.8,621.4,16.47,211.3,124.3,336.1,121.8,227.2,4.9,783.7,16.8
Bharat Heavy Electricals Ltd.,BHEL,500103,GENERAL INDUSTRIALS,HEAVY ELECTRICAL EQUIPMENT,5305.4,5513.0,-387.7,-7.56,59.9,180.4,-447.9,-197.9,-238.1,-0.7,71.3,0.2
Bharat Petroleum Corporation Ltd.,BPCL,500547,OIL & GAS,REFINERIES/PETRO-PRODUCTS,10372.0,90103.9,12940.5,12.56,1605.3,973.2,10755.7,2812.2,8243.5,38.7,27505.3,129.2
Bharti Airtel Ltd.,BHARTIARTL,532454,TELECOM SERVICES,TELECOM SERVICES,37374.2,17530.1,19513.7,52.68,9734.3,5185.8,3353.7,1846.5,1340.7,2.4,7547.0,13.2
Indus Towers Ltd.,INDUSTOWER,534816,TELECOM SERVICES,OTHER TELECOM SERVICES,7229.7,3498.8,3633.7,50.95,1525.6,458.6,1746.7,452.0,1294.7,4.8,3333.5,12.4
Biocon Ltd.,BIOCON,532523,PHARMACEUTICALS & BIOTECHNOLOGY,BIOTECHNOLOGY,3620.2,2720.7,741.6,21.42,389.3,247.7,238.5,41.6,125.6,1.1,498.4,4.2
Birla Corporation Ltd.,BIRLACORPN,500335,CEMENT AND CONSTRUCTION,CEMENT & CEMENT PRODUCTS,2313.2,1997.0,288.9,12.64,143.5,95.4,77.1,18.8,58.4,7.6,153.1,19.9
Blue Dart Express Ltd.,BLUEDART,526612,TRANSPORTATION,TRANSPORTATION - LOGISTICS,1329.7,1101.8,222.7,16.82,110.6,19.5,97.9,24.8,73.1,30.8,292.4,123.2
Blue Star Ltd.,BLUESTARCO,500067,CONSUMER DURABLES,CONSUMER ELECTRONICS,1903.4,1767.7,122.7,6.49,23.0,17.6,95.0,24.3,70.7,3.6,437.7,21.3
Bombay Burmah Trading Corporation Ltd.,BBTC,501425,FOOD BEVERAGES & TOBACCO,TEA & COFFEE,4643.5,3664.7,859.2,18.99,74.7,154.6,697.1,212.6,122.0,17.5,-1499.5,-214.8
Bosch Ltd.,BOSCHLTD,500530,AUTOMOBILES & AUTO COMPONENTS,AUTO PARTS & EQUIPMENT,4284.3,3638.8,491.3,11.9,101.3,12.2,1317.0,318.1,999.8,339.0,2126.9,721.0
Brigade Enterprises Ltd.,BRIGADE,532929,REALTY,REALTY,1407.9,1041.8,324.8,23.77,75.7,110.0,180.3,67.8,133.5,5.8,298.2,12.9
Britannia Industries Ltd.,BRITANNIA,500825,FMCG,PACKAGED FOODS,4485.2,3560.5,872.4,19.68,71.7,53.4,799.7,212.1,587.6,24.4,2536.2,105.3
CCL Products India Ltd.,CCL,519600,FOOD BEVERAGES & TOBACCO,TEA & COFFEE,608.3,497.7,109.9,18.09,22.6,18.4,69.7,8.8,60.9,4.6,279.9,21.0
Crisil Ltd.,CRISIL,500092,BANKING AND FINANCE,OTHER FINANCIAL SERVICES,771.8,544.2,191.7,26.05,26.5,0.8,200.3,48.3,152.0,20.8,606.3,82.9
Zydus Lifesciences Ltd.,ZYDUSLIFE,532321,PHARMACEUTICALS & BIOTECHNOLOGY,PHARMACEUTICALS,4422.8,3222.7,1146.1,26.23,184.2,8.7,1007.2,226.4,800.7,7.9,2807.1,27.7
Can Fin Homes Ltd.,CANFINHOME,511196,BANKING AND FINANCE,HOUSING FINANCE,871.0,49.7,749.2,86.01,2.8,548.4,198.0,39.9,158.1,11.9,658.8,49.5
Canara Bank,CANBK,532483,BANKING AND FINANCE,BANKS,33891.2,8250.3,7706.6,28.24,0.0,17934.3,5098.0,1420.6,386.0,20.9,13968.4,77.0
Carborundum Universal Ltd.,CARBORUNIV,513375,GENERAL INDUSTRIALS,OTHER INDUSTRIAL PRODUCTS,1166.0,978.8,167.5,14.61,45.9,4.9,136.4,43.7,101.9,5.4,461.3,24.3
Castrol India Ltd.,CASTROLIND,500870,OIL & GAS,OIL MARKETING & DISTRIBUTION,1203.2,914.4,268.6,22.7,22.9,2.4,263.5,69.1,194.4,2.0,815.5,8.2
Ceat Ltd.,CEATLTD,500878,AUTOMOBILES & AUTO COMPONENTS,AUTO TYRES & RUBBER PRODUCTS,3063.8,2597.2,456.1,14.94,124.5,71.7,270.4,68.3,208.0,51.4,521.7,129.0
Central Bank of India,CENTRALBK,532885,BANKING AND FINANCE,BANKS,8438.5,2565.4,1535.4,20.81,0.0,4337.7,567.2,-41.5,622.0,0.7,2181.4,2.5
Century Plyboards (India) Ltd.,CENTURYPLY,532548,FOREST MATERIALS,FOREST PRODUCTS,1011.4,852.5,144.3,14.47,23.4,6.1,129.4,32.2,96.9,4.4,380.7,17.1
Cera Sanitaryware Ltd.,CERA,532443,DIVERSIFIED CONSUMER SERVICES,FURNITURE-FURNISHING-PAINTS,476.2,387.2,76.5,16.49,8.9,1.4,77.2,19.8,56.9,43.8,232.4,178.7
Chambal Fertilisers & Chemicals Ltd.,CHAMBLFERT,500085,FERTILIZERS,FERTILIZERS,5467.3,4770.5,615.0,11.42,78.4,45.8,572.6,200.2,381.0,9.2,1137.7,27.3
Cholamandalam Investment & Finance Company Ltd.,CHOLAFIN,511243,BANKING AND FINANCE,FINANCE (INCLUDING NBFCS),4695.2,987.6,3235.1,69.99,38.5,2204.2,1065.0,288.8,772.9,9.4,3022.8,36.7
Cipla Ltd.,CIPLA,500087,PHARMACEUTICALS & BIOTECHNOLOGY,PHARMACEUTICALS,6854.5,4944.4,1733.8,25.96,290.0,25.8,1594.2,438.4,1130.9,14.0,3449.1,42.7
City Union Bank Ltd.,CUB,532210,BANKING AND FINANCE,BANKS,1486.1,333.9,386.6,29.65,0.0,765.6,330.6,50.0,280.6,3.8,943.8,12.7
Coal India Ltd.,COALINDIA,533278,METALS & MINING,COAL,34760.3,24639.4,8137.0,24.83,1178.2,182.5,8760.2,2036.5,6799.8,11.0,28059.6,45.5
Colgate-Palmolive (India) Ltd.,COLPAL,500830,FMCG,PERSONAL PRODUCTS,1492.1,989.0,482.1,32.77,44.3,1.1,457.8,117.8,340.1,12.5,1173.2,43.1
Container Corporation of India Ltd.,CONCOR,531344,COMMERCIAL SERVICES & SUPPLIES,WAREHOUSING AND LOGISTICS,2299.8,1648.4,546.5,24.9,153.1,16.5,481.8,119.0,367.4,6.0,1186.2,19.5
Coromandel International Ltd.,COROMANDEL,506395,FERTILIZERS,FERTILIZERS,7032.9,5929.4,1058.7,15.15,54.0,46.2,1003.3,245.0,756.9,25.7,2024.2,68.8
Crompton Greaves Consumer Electricals Ltd.,CROMPTON,539876,CONSUMER DURABLES,HOUSEHOLD APPLIANCES,1797.2,1607.8,174.5,9.79,32.1,21.5,135.8,34.9,97.2,1.5,432.0,6.7
Cummins India Ltd.,CUMMINSIND,500480,GENERAL INDUSTRIALS,INDUSTRIAL MACHINERY,2011.3,1575.4,346.2,18.02,38.3,6.8,390.9,99.6,329.1,11.9,1445.5,52.1
Cyient Ltd.,CYIENT,532175,SOFTWARE & SERVICES,IT CONSULTING & SOFTWARE,1792.0,1452.7,325.8,18.32,65.8,27.0,240.3,56.7,178.3,16.3,665.6,60.1
DCM Shriram Ltd.,DCMSHRIRAM,523367,CHEMICALS & PETROCHEMICALS,SPECIALTY CHEMICALS,273.0,2593.9,114.1,4.21,74.0,14.7,47.5,15.2,32.2,2.1,617.6,39.4
DLF Ltd.,DLF,532868,REALTY,REALTY,1476.4,885.3,462.4,34.31,37.0,90.2,464.0,112.2,622.8,2.5,2239.0,9.0
Dabur India Ltd.,DABUR,500096,FMCG,PERSONAL PRODUCTS,3320.2,2543.0,660.9,20.63,98.3,28.1,650.8,144.3,515.0,2.9,1755.7,9.9
Delta Corp Ltd.,DELTACORP,532848,COMMERCIAL SERVICES & SUPPLIES,MISC. COMMERCIAL SERVICES,282.6,170.5,100.1,36.99,16.9,2.7,92.4,23.0,69.4,2.6,273.3,10.2
Divi's Laboratories Ltd.,DIVISLAB,532488,PHARMACEUTICALS & BIOTECHNOLOGY,PHARMACEUTICALS,1995.0,143.0,479.0,25.09,95.0,1.0,469.0,121.0,348.0,13.1,1331.8,50.3
Dr. Lal Pathlabs Ltd.,LALPATHLAB,539524,DIVERSIFIED CONSUMER SERVICES,HEALTHCARE SERVICES,619.4,423.5,177.8,29.57,35.9,7.8,152.2,41.5,109.3,13.2,301.4,36.1
Dr. Reddy's Laboratories Ltd.,DRREDDY,500124,PHARMACEUTICALS & BIOTECHNOLOGY,PHARMACEUTICALS,7217.6,4888.8,2008.3,29.09,375.5,35.3,1912.5,434.5,1482.2,89.1,5091.2,305.2
EID Parry (India) Ltd.,EIDPARRY,500125,FOOD BEVERAGES & TOBACCO,OTHER FOOD PRODUCTS,9210.3,8002.0,1057.5,11.67,101.2,74.2,1032.8,246.8,452.3,25.5,991.0,55.8
Eicher Motors Ltd.,EICHERMOT,505200,AUTOMOBILES & AUTO COMPONENTS,2/3 WHEELERS,4388.3,3027.4,1087.2,26.42,142.5,12.7,1205.7,291.1,1016.2,37.1,3581.0,130.8
Emami Ltd.,EMAMILTD,531162,FMCG,PERSONAL PRODUCTS,876.0,631.2,233.7,27.02,46.1,2.2,196.4,15.8,178.5,4.1,697.8,16.0
Endurance Technologies Ltd.,ENDURANCE,540153,AUTOMOBILES & AUTO COMPONENTS,AUTO PARTS & EQUIPMENT,2560.5,2226.7,318.3,12.51,118.4,9.8,205.6,51.1,154.6,11.0,562.8,40.0
Engineers India Ltd.,ENGINERSIN,532178,COMMERCIAL SERVICES & SUPPLIES,CONSULTING SERVICES,833.6,691.3,98.5,12.47,8.3,0.4,133.6,32.2,127.5,2.3,472.7,8.4
Escorts Kubota Ltd.,ESCORTS,500495,AUTOMOBILES & AUTO COMPONENTS,COMMERCIAL VEHICLES,2154.4,1798.6,260.7,12.66,40.8,3.1,311.9,79.7,223.3,20.6,910.5,82.4
Exide Industries Ltd.,EXIDEIND,500086,AUTOMOBILES & AUTO COMPONENTS,AUTO PARTS & EQUIPMENT,4408.9,3872.4,499.1,11.42,141.5,29.7,365.3,95.2,269.4,3.2,872.7,10.3
Federal Bank Ltd.,FEDERALBNK,500469,BANKING AND FINANCE,BANKS,6548.2,1603.8,1400.3,24.18,0.0,3544.1,1342.7,342.6,994.1,4.3,3671.4,15.6
Finolex Cables Ltd.,FINCABLES,500144,CONSUMER DURABLES,OTHER ELECTRICAL EQUIPMENT/PRODUCTS,1229.3,1041.3,146.1,12.3,10.8,0.4,176.7,52.3,154.2,10.1,643.9,42.1
Finolex Industries Ltd.,FINPIPE,500940,GENERAL INDUSTRIALS,PLASTIC PRODUCTS,944.5,780.2,103.0,11.66,27.4,12.5,124.5,35.4,98.0,1.6,459.3,7.4
Firstsource Solutions Ltd.,FSL,532809,SOFTWARE & SERVICES,BPO/KPO,1556.9,1311.2,228.8,14.86,65.4,26.1,154.3,27.8,126.5,1.9,551.7,7.9
GAIL (India) Ltd.,GAIL,532155,UTILITIES,UTILITIES,33191.0,29405.5,3580.2,10.85,837.3,199.6,2748.7,696.3,2444.1,3.7,5283.8,8.0
GlaxoSmithKline Pharmaceuticals Ltd.,GLAXO,500660,PHARMACEUTICALS & BIOTECHNOLOGY,PHARMACEUTICALS,985.2,667.5,289.5,30.25,18.1,0.4,299.2,81.7,217.5,12.8,647.8,38.2
Glenmark Pharmaceuticals Ltd.,GLENMARK,532296,PHARMACEUTICALS & BIOTECHNOLOGY,PHARMACEUTICALS,3209.1,2745.1,462.3,14.41,141.5,121.5,-124.4,55.9,-81.9,-2.9,-196.3,-7.0
Godrej Consumer Products Ltd.,GODREJCP,532424,FMCG,PERSONAL PRODUCTS,3667.9,2897.8,704.2,19.55,60.9,77.3,619.4,186.6,432.8,4.2,1750.1,17.1
Godrej Industries Ltd.,GODREJIND,500164,DIVERSIFIED,DIVERSIFIED,4256.9,3672.1,265.5,6.74,89.3,333.1,162.4,75.9,87.3,2.6,880.0,26.1
Godrej Properties Ltd.,GODREJPROP,533150,REALTY,REALTY,605.1,404.7,-61.7,-17.98,7.4,48.0,145.1,38.8,66.8,2.4,662.6,23.8
Granules India Ltd.,GRANULES,532482,PHARMACEUTICALS & BIOTECHNOLOGY,PHARMACEUTICALS,1191.0,976.5,213.0,17.9,52.5,26.0,136.0,33.9,102.1,4.2,393.9,16.3
Great Eastern Shipping Company Ltd.,GESHIP,500620,TRANSPORTATION,SHIPPING,1461.5,585.6,643.4,52.35,186.7,77.1,611.9,17.3,594.7,41.6,2520.1,176.5
Gujarat Alkalies & Chemicals Ltd.,GUJALKALI,530001,CHEMICALS & PETROCHEMICALS,COMMODITY CHEMICALS,1042.3,926.1,45.2,4.65,95.2,10.8,10.2,-0.1,-18.4,-2.5,82.7,11.3
Gujarat Gas Ltd.,GUJGASLTD,539336,UTILITIES,UTILITIES,4019.3,3494.5,496.6,12.44,117.9,7.8,399.1,102.9,296.2,4.3,1254.3,18.2
Gujarat Narmada Valley Fertilizers & Chemicals Ltd.,GNFC,500670,FERTILIZERS,FERTILIZERS,2232.0,1911.0,169.0,8.12,78.0,1.0,242.0,64.0,182.0,11.7,932.0,60.1
Gujarat Pipavav Port Ltd.,GPPL,533248,TRANSPORTATION,MARINE PORT & SERVICES,270.4,102.0,150.6,59.64,28.8,2.2,141.1,53.4,92.3,1.9,341.8,7.1
Gujarat State Fertilizer & Chemicals Ltd.,GSFC,500690,FERTILIZERS,FERTILIZERS,3313.2,2881.4,237.3,7.61,45.7,1.6,387.0,78.1,308.9,7.8,1056.2,26.5
Gujarat State Petronet Ltd.,GSPL,532702,UTILITIES,UTILITIES,4455.9,3497.2,913.7,20.72,165.0,14.5,779.2,198.7,454.6,8.1,1522.0,27.0
HCL Technologies Ltd.,HCLTECH,532281,SOFTWARE & SERVICES,IT CONSULTING & SOFTWARE,27037.0,20743.0,5929.0,22.23,101.0,156.0,5128.0,1295.0,3832.0,14.2,15445.0,56.9
HDFC Bank Ltd.,HDFCBANK,500180,BANKING AND FINANCE,BANKS,107566.6,42037.6,24279.1,32.36,0.0,41249.9,20967.4,3655.0,16811.4,22.2,54474.6,71.8
Havells India Ltd.,HAVELLS,517354,CONSUMER DURABLES,OTHER ELECTRICAL EQUIPMENT/PRODUCTS,3952.8,3527.0,373.4,9.57,81.2,9.3,335.3,86.2,249.1,4.0,1177.7,18.8
Hero MotoCorp Ltd.,HEROMOTOCO,500182,AUTOMOBILES & AUTO COMPONENTS,2/3 WHEELERS,9741.2,8173.5,1359.5,14.26,187.1,25.0,1355.6,353.1,1006.3,50.3,3247.6,162.5
HFCL Ltd.,HFCL,500183,TELECOMMUNICATIONS EQUIPMENT,TELECOM CABLES,1128.7,978.9,132.6,11.93,21.4,34.8,93.5,24.0,69.4,0.5,305.5,2.1
Hindalco Industries Ltd.,HINDALCO,500440,METALS & MINING,ALUMINIUM AND ALUMINIUM PRODUCTS,54632.0,48557.0,5612.0,10.36,1843.0,1034.0,3231.0,1035.0,2196.0,9.9,8423.0,37.9
Hindustan Copper Ltd.,HINDCOPPER,513599,METALS & MINING,COPPER,392.6,260.2,121.2,31.77,45.6,4.1,82.6,21.9,60.7,0.6,320.5,3.3
Hindustan Petroleum Corporation Ltd.,HINDPETRO,500104,OIL & GAS,REFINERIES/PETRO-PRODUCTS,96093.4,87512.0,824.0,8.61,1247.3,590.0,6744.1,1616.0,5827.0,41.1,16645.0,117.3
Hindustan Unilever Ltd.,HINDUNILVR,500696,FMCG,PERSONAL PRODUCTS,15806.0,11826.0,3797.0,24.3,297.0,88.0,359.0,931.0,2656.0,11.3,10284.0,43.8
Hindustan Zinc Ltd.,HINDZINC,500188,METALS & MINING,ZINC,7014.0,3652.0,3139.0,46.22,825.0,232.0,2305.0,576.0,1729.0,4.1,8432.0,20.0
Housing and Urban Development Corporation Ltd.,HUDCO,540530,BANKING AND FINANCE,HOUSING FINANCE,1880.8,82.7,1809.6,97.04,2.4,1216.8,606.4,154.7,451.6,2.3,1790.7,8.9
ITC Ltd.,ITC,500875,FOOD BEVERAGES & TOBACCO,CIGARETTES-TOBACCO PRODUCTS,18439.3,11320.2,6454.2,36.31,453.0,9.9,6656.2,1700.3,4898.1,3.9,20185.1,16.2
ICICI Bank Ltd.,ICICIBANK,532174,BANKING AND FINANCE,BANKS,57292.3,23911.0,15473.2,39.74,0.0,17908.0,14824.2,3808.8,11805.6,15.6,41086.8,58.7
ICICI Prudential Life Insurance Company Ltd.,ICICIPRULI,540133,BANKING AND FINANCE,LIFE INSURANCE,17958.1,17612.3,-229.6,-1.32,0.0,0.0,340.2,32.5,243.9,1.7,906.9,6.3
IDBI Bank Ltd.,IDBI,500116,BANKING AND FINANCE,BANKS,7063.7,1922.3,2175.3,36.02,0.0,2966.1,2396.9,1003.7,1385.4,1.3,4776.3,4.4
IDFC First Bank Ltd.,IDFCFIRSTB,539437,BANKING AND FINANCE,BANKS,8765.8,3849.0,1511.2,20.54,0.0,3405.6,982.8,236.0,746.9,1.1,2911.1,4.3
IDFC Ltd.,IDFC,532659,BANKING AND FINANCE,FINANCE (INCLUDING NBFCS),36.7,6.0,30.6,83.56,0.0,0.0,30.6,6.6,223.5,1.4,4147.1,25.9
IRB Infrastructure Developers Ltd.,IRB,532947,CEMENT AND CONSTRUCTION,ROADS & HIGHWAYS,1874.5,950.4,794.6,45.54,232.7,434.6,256.9,85.8,95.7,0.2,501.0,0.8
ITI Ltd.,ITI,523610,TELECOMMUNICATIONS EQUIPMENT,TELECOM EQUIPMENT,256.1,299.3,-52.8,-21.42,13.3,69.3,-125.8,0.0,-126.0,-1.3,-388.4,-4.0
Vodafone Idea Ltd.,IDEA,532822,TELECOM SERVICES,TELECOM SERVICES,10750.8,6433.5,4282.8,39.97,5667.3,6569.0,-7919.0,817.7,-8737.9,-1.8,-30986.8,-6.4
India Cements Ltd.,INDIACEM,530005,CEMENT AND CONSTRUCTION,CEMENT & CEMENT PRODUCTS,1272.4,126.0,4.4,0.35,55.0,60.4,-103.0,-17.4,-80.1,-2.6,-261.1,-8.4
Indiabulls Housing Finance Ltd.,IBULHSGFIN,535789,BANKING AND FINANCE,HOUSING FINANCE,2242.3,190.6,1779.2,79.88,22.9,1349.8,421.6,123.6,298.0,6.5,1146.0,24.3
Indian Bank,INDIANB,532814,BANKING AND FINANCE,BANKS,15929.4,3599.1,4327.7,31.44,0.0,8002.6,2776.7,768.6,2068.5,16.6,6893.3,55.3
Indian Hotels Company Ltd.,INDHOTEL,500850,HOTELS RESTAURANTS & TOURISM,HOTELS,1480.9,1078.4,354.8,24.75,111.2,59.0,232.2,72.3,166.9,1.2,1100.3,7.7
Indian Oil Corporation Ltd.,IOC,530965,OIL & GAS,OIL MARKETING & DISTRIBUTION,179752.1,156013.1,23328.4,13.01,3609.6,2135.0,18090.2,4699.7,13114.3,9.5,38614.3,27.3
Indian Overseas Bank,IOB,532388,BANKING AND FINANCE,BANKS,6941.5,1785.1,1679.8,28.84,0.0,3476.6,635.5,8.3,627.2,0.3,2341.9,1.2
Indraprastha Gas Ltd.,IGL,532514,UTILITIES,UTILITIES,3520.2,2801.6,656.9,18.99,102.2,2.5,613.9,151.4,552.7,7.9,1806.2,25.8
IndusInd Bank Ltd.,INDUSINDBK,532187,BANKING AND FINANCE,BANKS,13529.7,3449.9,3908.7,34.75,0.0,6171.1,2934.9,732.9,2202.2,28.4,8333.7,107.2
Info Edge (India) Ltd.,NAUKRI,532777,SOFTWARE & SERVICES,INTERNET SOFTWARE & SERVICES,792.0,421.2,204.7,32.7,25.9,8.2,382.8,68.7,205.1,15.9,-25.6,-2.0
InterGlobe Aviation Ltd.,INDIGO,539448,TRANSPORTATION,AIRLINES,15502.9,12743.6,2200.3,14.72,1549.0,1021.3,189.1,0.2,188.9,4.9,5621.3,145.7
Ipca Laboratories Ltd.,IPCALAB,524494,PHARMACEUTICALS & BIOTECHNOLOGY,PHARMACEUTICALS,2072.5,1712.7,321.3,15.8,90.3,44.1,225.4,87.9,145.1,5.7,492.2,19.4
